tag             min_meta_client     min_meta_server     
0.8.168         0.7.59              0.8.35              
0.8.169         0.7.59              0.8.35              
0.8.170         0.7.59              0.8.35              
0.8.171         0.7.59              0.8.35              
0.8.172         0.7.59              0.8.35              
0.8.173         0.7.59              0.8.35              
0.8.174         0.7.59              0.8.35              
0.8.175         0.7.59              0.8.35              
0.8.176         0.7.59              0.8.35              
0.8.176         0.7.59              0.8.35              
0.8.177         0.7.59              0.8.35              
0.9.0           0.7.59              0.8.35              
0.9.1           0.7.59              0.8.35              
0.9.2           0.7.59              0.8.35              
0.9.3           0.7.59              0.8.35              
0.9.4           0.7.59              0.8.35              
0.9.5           0.7.59              0.8.35              
0.9.6           0.7.59              0.8.35              
0.9.7           0.7.59              0.8.35              
0.9.8           0.7.59              0.8.35              
0.9.9           0.7.59              0.8.35              
0.9.10          0.7.59              0.8.35              
0.9.11          0.7.59              0.8.35              
0.9.12          0.7.59              0.8.35              
0.9.13          0.7.59              0.8.35              
0.9.14          0.7.59              0.8.35              
0.9.15          0.7.59              0.8.35              
0.9.16          0.7.59              0.8.35              
0.9.17          0.7.59              0.8.35              
0.9.18          0.7.59              0.8.35              
0.9.19          0.7.59              0.8.35              
0.9.20          0.7.59              0.8.35              
0.9.21          0.7.59              0.8.35              
0.9.22          0.7.59              0.8.35              
0.9.23          0.7.59              0.8.35              
0.9.24          0.8.80              0.8.35              
0.9.25          0.8.80              0.8.35              
0.9.26          0.8.80              0.8.35              
0.9.27          0.8.80              0.8.35              
0.9.28          0.8.80              0.8.35              
0.9.29          0.8.80              0.8.35              
0.9.30          0.8.80              0.8.35              
0.9.31          0.8.80              0.8.35              
0.9.32          0.8.80              0.8.35              
0.9.33          0.8.80              0.8.35              
0.9.34          0.8.80              0.8.35              
0.9.35          0.8.80              0.8.35              
0.9.36          0.8.80              0.8.35              
0.9.37          0.8.80              0.8.35              
0.9.38          0.8.80              0.8.35              
0.9.39          0.8.80              0.8.35              
0.9.40          0.8.80              0.8.35              
0.9.41          0.8.80              0.8.35              
0.9.42          0.9.41              0.8.35              
0.9.43          0.9.41              0.8.35              
0.9.44          0.9.41              0.8.35              
0.9.45          0.9.41              0.8.35              
0.9.46          0.9.41              0.8.35              
0.9.47          0.9.41              0.8.35              
0.9.48          0.9.41              0.8.35              
0.9.49          0.9.41              0.8.35              
0.9.50          0.9.41              0.8.35              
0.9.51          0.9.41              0.8.35              
0.9.52          0.9.41              0.8.35              
0.9.53          0.9.41              0.8.35              
0.9.54          0.9.41              0.8.35              
0.9.55          0.9.41              0.8.35              
0.9.56          0.9.41              0.8.35              
0.9.57          0.9.41              0.8.35              
0.9.58          0.9.41              0.8.35              
0.9.59          0.9.41              0.8.35              
1.0.0           0.9.41              0.8.35              
1.0.1           0.9.41              0.8.35              
1.0.2           0.9.41              0.8.35              
1.0.3           0.9.41              0.8.35              
1.0.4           0.9.41              0.8.35              
1.0.5           0.9.41              0.8.35              
1.0.6           0.9.41              0.8.35              
1.0.7           0.9.41              0.8.35              
1.0.8           0.9.41              0.8.35              
1.0.9           0.9.41              0.8.35              
1.0.10          0.9.41              0.8.35              
1.0.11          0.9.41              0.8.35              
1.0.12          0.9.41              0.8.35              
1.0.13          0.9.41              0.8.35              
1.0.14          0.9.41              0.8.35              
1.0.15          0.9.41              0.8.35              
1.0.16          0.9.41              0.8.35              
1.0.17          0.9.41              0.8.35              
1.0.18          0.9.41              0.8.35              
1.0.19          0.9.41              0.8.35              
1.0.20          0.9.41              0.8.35              
1.0.21          0.9.41              0.8.35              
1.0.22          0.9.41              0.8.35              
1.0.23          0.9.41              0.8.35              
1.0.24          0.9.41              0.8.35              
1.0.25          0.9.41              0.8.35              
1.0.26          0.9.41              0.8.35              
1.0.27          0.9.41              0.8.35              
1.0.28          0.9.41              0.8.35              
1.0.29          0.9.41              0.8.35              
1.0.30          0.9.41              0.8.35              
1.0.31          0.9.41              0.8.35              
1.0.32          0.9.41              0.8.35              
1.0.33          0.9.41              0.8.35              
1.0.34          0.9.41              0.8.35              
1.0.35          0.9.41              0.8.35              
1.0.36          0.9.41              0.8.35              
1.0.37          0.9.41              0.8.35              
1.0.38          0.9.41              0.8.35              
1.0.39          0.9.41              0.8.35              
1.0.40          0.9.41              0.8.35              
1.0.41          0.9.41              0.8.35              
1.0.42          0.9.41              0.8.35              
1.0.43          0.9.41              0.8.35              
1.0.44          0.9.41              0.8.35              
1.0.45          0.9.41              0.8.35              
1.0.46          0.9.41              0.8.35              
1.0.47          0.9.41              0.8.35              
1.0.48          0.9.41              0.8.35              
1.0.49          0.9.41              0.8.35              
1.0.50          0.9.41              0.8.35              
1.0.51          0.9.41              0.8.35              
1.0.52          0.9.41              0.8.35              
1.0.53          0.9.41              0.8.35              
1.0.54          0.9.41              0.8.35              
1.0.55          0.9.41              0.8.35              
1.0.56          0.9.41              0.8.35              
1.0.57          0.9.41              0.8.35              
1.0.58          0.9.41              0.8.35              
1.0.59          0.9.41              0.8.35              
1.0.60          0.9.41              0.8.35              
1.0.61          0.9.41              0.8.35              
1.0.62          0.9.41              0.8.35              
1.0.63          0.9.41              0.8.35              
1.1.0           0.9.41              0.8.35              
1.1.1           0.9.41              0.8.35              
1.1.2           0.9.41              0.8.35              
1.1.3           0.9.41              0.8.35              
1.1.4           0.9.41              0.8.35              
1.1.5           0.9.41              0.8.35              
1.1.6           0.9.41              0.8.35              
1.1.7           0.9.41              0.8.35              
1.1.8           0.9.41              0.8.35              
1.1.9           0.9.41              0.8.35              
1.1.10          0.9.41              0.8.35              
1.1.11          0.9.41              0.8.35              
1.1.12          0.9.41              0.8.35              
1.1.13          0.9.41              0.8.35              
1.1.14          0.9.41              0.8.35              
1.1.15          0.9.41              0.8.35              
1.1.16          0.9.41              0.8.35              
1.1.17          0.9.41              0.8.35              
1.1.18          0.9.41              0.8.35              
1.1.19          0.9.41              0.8.35              
1.1.20          0.9.41              0.8.35              
1.1.21          0.9.41              0.8.35              
1.1.22          0.9.41              0.8.35              
1.1.23          0.9.41              0.8.35              
1.1.24          0.9.41              0.8.35              
1.1.25          0.9.41              0.8.35              
1.1.26          0.9.41              0.8.35              
1.1.27          0.9.41              0.8.35              
1.1.28          0.9.41              0.8.35              
1.1.29          0.9.41              0.8.35              
